pub_date,author,title,subtitle,era,source,keyword,context,sense_rule
1999年6月4日,岡本綺堂,半七捕物帳,奥女中,Meiji,「時代推理小説　半七捕物帳（一）」光文社文庫、光文社,自害,首尾よく相勤めませねば、わたくし此の場で自害でもいたさねば相成りませぬ」 彼女は更に,General
2000年1月27日,岡本綺堂,半七捕物帳,大森の鶏,Meiji,「時代推理小説　半七捕物帳（四）」光文社文庫、光文社,自害,と云うのほかはありません。奥様もつづいて自害と覚悟しましたが、わたくしが早く押さえた,General
2001年10月15日,岡本綺堂,綺堂むかし語り,,Meiji,「綺堂むかし語り」光文社時代小説文庫、光文社,自殺,なければなるまい。 蝎は敵に囲まれた時は自殺する。おのが尻尾《しっぽ》の剣先をおのが,General
2001年10月15日,岡本綺堂,綺堂むかし語り,,Meiji,「綺堂むかし語り」光文社時代小説文庫、光文社,自殺,刺して仆《たお》れるのである。動物にして自殺するのは、恐らく蝎のほかにあるまい。蝎も,General
2001年10月15日,岡本綺堂,綺堂むかし語り,,Meiji,「綺堂むかし語り」光文社時代小説文庫、光文社,自殺,じゅすい》するか、山や森へ入り込んで劇薬自殺を企てるたぐいは、旅館に迷惑をあたえる程,General
2001年10月15日,岡本綺堂,綺堂むかし語り,,Meiji,「綺堂むかし語り」光文社時代小説文庫、光文社,自害,下に修善寺駐在所がある。範頼が火を放って自害した真光院というのは、今の駐在所のあたり,General
1998年12月2日,芥川龍之介,六の宮の姫君,,Meiji,「現代日本文学大系　43　芥川龍之介集」筑摩書房,自害,を見た。大男は唯「年は八歳、命《めい》は自害」と云ひ捨てたなり、忽《たちま》ち何処《,General
2009年7月19日,菊池寛,厳島合戦,,Meiji,「日本合戦譚」文春文庫、文藝春秋社,自殺,も毛利軍の大勝に帰したわけであるが、晴賢自殺の場所については、厳島の南岸の青海苔浦《,General
2009年7月19日,菊池寛,厳島合戦,,Meiji,「日本合戦譚」文春文庫、文藝春秋社,自害,江浦にて小川伝いに山中に入り、其辺りにて自害したと言われている。 伊加賀民部、山崎｜,General
2009年9月10日,菊池寛,賤ヶ岳合戦,,Meiji,「日本合戦譚」文春文庫、文藝春秋社,自殺,節と云う三尺六寸の太刀で斬死して防ぐ間に自殺した。岩崎山の高山右近は、大岩山陥ると聞,General
2009年9月10日,菊池寛,賤ヶ岳合戦,,Meiji,「日本合戦譚」文春文庫、文藝春秋社,自害,ことは口惜しい次第｜故《ゆえ》本丸へ退き自害されよと説いた。瀬兵衛、今日の戦、存分の,General
2009年9月10日,菊池寛,賤ヶ岳合戦,,Meiji,「日本合戦譚」文春文庫、文藝春秋社,自害,に放つと共に勝家始め男女三十九人、一堂に自害して、煙の中に亡び果てた。勝家年五十四で,General
2002年2月18日,国枝史郎,高島異誌,,Meiji,「妖異全集」桃源社,自害,娘の身で、このような所へ来るさえあるに、自害なさろうとは心得ぬ。死ぬ程の苦痛ござるな,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,た。 三年前の女中の失踪。誘拐されたか、自殺したか、それとも殺されたか、いずれにして,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,体は他殺ちゅう事になっとるのか、それとも自殺となっとるのかね」 「自殺と云う事になっ,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,のか、それとも自殺となっとるのかね」 「自殺と云う事になっているのです」 石子は署長,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,がら、 「それで何だろう、その娘が覚悟の自殺をしたかも知れんと云う事実はないのだろう,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,える質《たち》ではなかったそうですから、自殺と云う事は信ぜられませんね」 「じゃ、君,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,れませんね」 「じゃ、君、過失でもなし、自殺でもないとすると、他殺に極っとるじゃない,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,」 司法主任は呼びかけた。 「その屍体は自殺と云う事になっているのですが」 「そいつ,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,た。 「死後六ヵ月の溺死体とすると容易に自殺他殺の区別を断言する事は出来ませんね」 ,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,に発掘して来た白骨が小林貞と判明したか、自殺か他殺か区別がついたか、その鑑定の結果は,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,体は九分通り小林貞の屍体に相違なかった。自殺か他殺か其点は未だはっきりしないが、屍体,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,しそうに喘いだ。 かつて彼が銅貨を呑んで自殺を計って以来、再びそんな事をさせないよう,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,畜生」 渡辺刑事は叫んだ。 「野郎又狂言自殺をやりやがったなっ」 「硝子なんか呑んだ,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,て六ヵ月目に浮き上って、何者とも知れない自殺死体となって埋葬せられ、それから三年目の,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,ますが、その当時は自分の犯罪を自白せずに自殺しようと思い、石を呑んだり硝子を呑んだり,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,を突き破って死のうとしたり試みましたが、自殺の目的を達する事を得ず、煩悶している間に,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,た。死後経過は六ヵ月乃至一年と見ました。自殺か他殺かと云う事はとても判別出来ませんで,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,曲中のハムレット皇子が厭世観に捕われて、自殺せんかと思いつめた時に、厭世観を誘う一つ,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,るうちに、一時支倉と同監した男で、支倉が自殺を企てようとした事につき訊問されたのだっ,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,ては再び社会に顔向けが出来ない、この上は自殺するよりないから、どうか見逃して呉れと云,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,。私はそれは困る、自分の寝ている時にでも自殺して知らないのなら格別、自分の面前で自殺,General
2007年7月15日,甲賀三郎,支倉事件,,Meiji,「日本探偵小説全集1　黒岩涙香　小酒井不木　甲賀三郎集」創元推理文庫、東京創元社,自殺,自殺して知らないのなら格別、自分の面前で自殺を企てられて黙っている訳に行かないと答え,General
